Author,Mapped Genres
adib khorram,"young adult, lgbt, contemporary, queer, romance, fiction, mental health"
john malam,non-fiction
paolo bacigalupi,"young adult, fiction, mystery, thriller, science fiction, romance, teen"
leech caroline,"historical, young adult, romance, world war ii, historical, fiction, scotland"
smith betty,"fiction, historical, classics, young adult, coming of age, historical, new york"
george r. r. martin,"fantasy, fiction, high fantasy, epic, adult, dragons, adventure"
simon james green,"romance, lgbt, young adult, queer, contemporary, gay, fiction"
murray jocelyn,"africa, historical, non-fiction, geography"
jerry hopkins,"music, biography, non-fiction, rock n roll, memoir, biography, audiobook"
brown sandra,"romance, contemporary, contemporary, harlequin, audiobook, fiction, military"
jane yolen,"young adult, historical, fantasy, fiction, fairy tales, historical, holocaust"
peirce lincoln,"graphic novel, comic book, childrens, middle grade, juvenile, humor, graphic novel"
young suzanne,"dystopia, young adult, science fiction, romance, fiction, mental health, audiobook"
dan brown,"fiction, mystery, thriller, mystery, suspense, adventure, historical"
niven jennifer,"romance, young adult, contemporary, fiction, realistic fiction, coming of age, young adult"
carolyn parkhurst,"fiction, mystery, animals, dogs, contemporary, literary fiction, adult"
king stephen,"horror, fiction, vampires, fantasy, thriller, paranormal, audiobook"
tom wolfe,"fiction, , , classics, philosophy, literary fiction, contemporary"
weir andy,"science fiction, fiction, audiobook, adventure, space, adult, thriller"
j. c. geiger,"young adult, contemporary, fiction, romance, realistic fiction, coming of age, young adult"
mike curato,"graphic novel, lgbt, young adult, , queer, fiction, comic book"
arthur conan doyle,"classics, mystery, fiction, short stories, crime, detective, "
bella stumbo,"true crime, non-fiction, crime, biography, historical, mystery, marriage"
bennett marguerite,"graphic novel, horror, comic book, graphic novel, fiction, supernatural"
claire fontaine,"memoir, non-fiction, biography, biography, parenting, psychology, adult"
karen cushman,"historical, young adult, fiction, middle grade, childrens, historical, medieval"
amy ignatow,"middle grade, graphic novel, realistic fiction, humor, childrens, juvenile, teen"
renee collins,"young adult, romance, time travel, fantasy, mystery, historical, science fiction"
shaun david hutchinson,"lgbt, science fiction, romance, young adult, queer, mystery, audiobook"
matthew j. sullivan,"mystery, fiction, books about books, mystery, thriller, audiobook, contemporary"
wilde oscar,"classics, fiction, horror, gothic, fantasy, , "
phyllis reynolds naylor,"young adult, fiction, contemporary, middle grade, childrens, , realistic fiction"
julia alvarez,"historical, fiction, historical, classics, school, spain, "
mariah fredericks,"young adult, paranormal, fantasy, witches, realistic fiction, fiction, mystery"
mariah fredericks,"young adult, romance, teen, realistic fiction, contemporary, chick lit, high school"
ellen hopkins,"romance, fiction, adult, contemporary, poetry, mystery, young adult"
lore pittacus,"young adult, fantasy, science fiction, fiction, aliens, adventure, paranormal"
rich wallace,"young adult, realistic fiction, teen"
meyer marissa,"fantasy, young adult, science fiction, romance, retellings, short stories, dystopia"
ron kovic,"non-fiction, historical, war, biography, memoir, military, autobiography"
capps michael,"comic book, graphic novel, video games, games, science fiction"
king stephen,"horror, fiction, short stories, thriller, audiobook, mystery, fantasy"
r.j. palacio,"fiction, young adult, middle grade, contemporary, realistic fiction, childrens, school"
derf backderf,"graphic novel, non-fiction, comic book, true crime, memoir, biography, crime"
carrie mesrobian,"young adult, contemporary, romance, fiction, realistic fiction, high school, young adult"
goode laura,"lgbt, young adult, queer, fiction, music, lesbian, contemporary"
james patterson,"mystery, fiction, crime, thriller, suspense, mystery, audiobook"
a. s. king,"young adult, contemporary, realistic fiction, fiction, romance, teen, audiobook"
marilyn reynolds,"realistic fiction, young adult"
ashley herring blake,"middle grade, lgbt, contemporary, realistic fiction, queer, young adult, fiction"
dowd siobhan,"young adult, fiction, ireland, historical, realistic fiction, contemporary, teen"
sarah mlynowski,"young adult, romance, contemporary, chick lit, realistic fiction, fiction, teen"
yoon nicola,"romance, young adult, contemporary, fiction, magic, audiobook, fantasy"
john hawkes,"fiction, , american, american, , 20th century, literary fiction"
haack daniel,"picture books, lgbt, childrens, fantasy, queer, romance, "
david baldacci,"fiction, thriller, mystery, suspense, crime, audiobook, mystery"
kelly huegel,"lgbt, young adult, teen, gender, gay, transgender, sexuality"
trish doller,"young adult, contemporary, romance, realistic fiction, fiction, young adult, new adult"
malamud bernard,"fiction, historical, classics, judaism, russia, , "
becky albertalli,"romance, young adult, contemporary, fiction, audiobook, realistic fiction, young adult"
louise erdrich,"fiction, historical, mystery, native american, literary fiction, coming of age, indigenous"
perry bruce,"historical, biography, race, social"
crafts hannah,"historical, fiction, african american, classics, historical, gothic, african american"
brandon sanderson,"fantasy, young adult, science fiction, fiction, dystopia, audiobook, urban"
newton suzanne,"realistic fiction, music, childrens, fiction, young adult"
grey melissa,"historical, young adult, lesbian, lgbt, historical, fantasy, queer"
mike mullin,"young adult, dystopia, post apocalyptic, science fiction, fiction, survival, apocalyptic"
cecily von ziegesar,"young adult, chick lit, fiction, contemporary, romance, teen, high school"
alan lawrence sitomer,"young adult, fiction, realistic fiction, family, cultural, teen, high school"
dean r. koontz,"horror, thriller, fiction, suspense, mystery, mystery, crime"
fisher catherine,"fantasy, young adult, dystopia, science fiction, steampunk, fiction, adventure"
hoover colleen,"thriller, romance, mystery, fiction, mystery, suspense, contemporary"
maggie stiefvater,"young adult, fantasy, romance, paranormal, werewolves, fiction, paranormal"
nol alyson,"young adult, fantasy, paranormal, romance, paranormal, fiction, supernatural"
gillman melanie,"graphic novel, young adult, lgbt, comic book, queer, fiction, middle grade"
renn diana,"mystery, young adult, contemporary, fiction, japan, art, teen"
boecker virginia,"historical, young adult, historical, romance, lgbt, fiction, fantasy"
nancy garden,"picture books, lgbt, family, childrens, fiction, school, queer"
wolff tracy,"fantasy, romance, young adult, paranormal, vampires, audiobook, romance"
rachel lynn solomon,"romance, young adult, contemporary, audiobook, mental health, contemporary, fiction"
allen ginsberg,"poetry, classics, fiction, queer, , american, lgbt"
chuck palahniuk,"fiction, contemporary, thriller, horror, , humor, mystery"
susan beth pfeffer,"young adult, dystopia, science fiction, fiction, post apocalyptic, survival, apocalyptic"
smith amber,"young adult, contemporary, romance, fiction, mental health, realistic fiction, audiobook"
john updike,"fiction, classics, american, , , literary fiction, 20th century"
james lee burke,"mystery, fiction, crime, thriller, mystery, detective, noir"
huxley aldous,", science fiction, , school, audiobook, , science fiction"
nick harkaway,"science fiction, fiction, dystopia, mystery, fantasy, science fiction, cyberpunk"
l.e. flynn,"mystery, young adult, thriller, mystery, fiction, contemporary, audiobook"
collins suzanne,"young adult, dystopia, fiction, fantasy, science fiction, romance, adventure"
philip c. stead,"picture books, dogs, animals, childrens, fiction, realistic fiction, humor"
greer hendricks,"thriller, mystery, fiction, mystery, audiobook, suspense, psychology"
p. c. cast,"fantasy, young adult, vampires, paranormal, fiction, romance, novella"
huntley fitzpatrick,"young adult, contemporary, romance, young adult, realistic fiction, fiction, young adult"
s.l. rottman,"young adult, fiction"
janet evanovich,"mystery, fiction, humor, chick lit, romance, audiobook, crime"
hill sandra,"romance, christmas, contemporary, contemporary, holiday, anthology, fiction"
sandra uwiringiyimana,"non-fiction, memoir, biography, africa, war, audiobook, biography"
lucy score,"romance, contemporary, contemporary, small town romance, fiction, audiobook, adult"
johnson maureen,"mystery, young adult, mystery, audiobook, contemporary, fiction, thriller"
kawa katie,non-fiction
gayle forman,"middle grade, lgbt, historical, realistic fiction, audiobook, fiction, historical"
kat ellis,"horror, young adult, mystery, thriller, fiction, mystery, contemporary"
phi bao,"picture books, lgbt, childrens, family, animals, cultural, fiction"
kelley armstrong,"young adult, fantasy, paranormal, urban, romance, supernatural, fiction"
melissa de la cruz,"historical, romance, young adult, historical, fiction, historical, audiobook"
do anh,childrens
k. l. going,"young adult, realistic fiction, coming of age, fiction, teen, lgbt, humor"
dayle campbell gaetz,"young adult, sports, fiction"
megan abbott,"fiction, mystery, young adult, thriller, contemporary, mystery, crime"
lisa williamson,"lgbt, young adult, contemporary, fiction, queer, transgender, romance"
smith patti,"non-fiction, memoir, music, biography, art, biography, autobiography"
ann brashares,"young adult, fiction, chick lit, contemporary, romance, teen, realistic fiction"
robert cormier,"young adult, fiction, classics, , realistic fiction, school, teen"
michelle ruiz keil,"fantasy, young adult, lgbt, magic, historical, retellings, mythology"
meg cabot,"young adult, romance, fiction, contemporary, chick lit, teen, childrens"
shahan sherry,"young adult, mental health, contemporary, fiction, romance, realistic fiction, mental health"
jake wizner,"young adult, humor, fiction, teen, realistic fiction, coming of age, contemporary"
steve skroce,"comic book, graphic novel, fantasy, graphic novel, fiction, magic, adult"
rick riordan,"fantasy, mythology, young adult, fiction, middle grade, adventure, greek mythology"
jim schutze,"true crime, non-fiction, crime, adult, historical, dark, adaptations"
lisa fiedler,"historical, young adult, contemporary, fiction, historical, realistic fiction, romance"
william kotzwinkle,"fiction, fantasy, humor, animals, comedy, , "
morgan llywelyn,"historical, fiction, ireland, fantasy, historical, ireland, science fiction"
fontes justine,"graphic novel, childrens, comic book, historical, mythology, juvenile"
leigh bardugo,"fantasy, young adult, romance, fiction, young adult, magic, high fantasy"
nancy springer,"mystery, historical, young adult, fiction, middle grade, historical, audiobook"
rick riordan,"fantasy, mythology, young adult, middle grade, fiction, adventure, greek mythology"
william faulkner,"fiction, classics, , historical, american, humor, "
